SchemeCode,NAV,NAV_Date
101932,42.5715,2025-12-18
101934,39.7668,2025-12-18
101945,34.2334,2025-02-28
101950,20.4827,2025-12-18
101951,20.7278,2025-12-18
101952,20.0972,2025-12-18
101970,103.8174,2025-12-18
101971,469.8027,2025-12-18
101972,100.015,2025-12-18
101973,100.02,2025-12-18
101974,100.1449,2025-12-18
101976,381.17,2025-12-18
101979,1441.488,2025-12-18
101980,77.042,2025-12-18
101986,1114.52,2025-12-18
101989,57.795,2025-12-18
101990,10.096,2025-12-18
101993,5887.2136,2025-12-18
101994,1063.64,2025-12-18
101995,1062.9225,2025-12-18
101996,3896.6318,2025-12-18
101997,1042.66,2025-12-18
102000,1165.129,2025-12-18
102001,58.818,2025-12-18
102007,1134.5189,2025-12-18
102008,1068.6521,2025-12-18
102009,3991.435,2025-12-18
102010,1157.8501,2025-12-18
102011,1103.2834,2025-12-18
102012,4398.566,2025-12-18
102013,1053.1149,2025-12-18
102020,285.8201,2025-12-18
102021,52.9391,2025-12-18
102036,112.8854,2025-12-18
102046,34.1747,2025-02-28
102053,52.5124,2025-12-18
102054,20.3553,2025-12-18
102060,34.9646,2018-05-25
102107,0.0,2022-12-19
102108,0.0,2022-12-19
102109,0.0,2022-12-19
102110,0.0,2022-12-19
102111,0.0,2022-12-19
102112,0.0,2022-12-19
102113,0.0,2022-12-19
102114,0.0,2022-12-19
102118,26.9827,2025-12-18
102133,169.0413,2025-12-18
102134,131.7045,2025-12-18
102135,229.8344,2025-12-18
102136,178.1649,2025-12-18
102137,123.8036,2025-12-18
102138,95.1422,2025-12-18
102139,64.1174,2025-12-18
102140,49.1998,2025-12-18
102141,46.1125,2025-12-18
102142,96.4096,2025-12-18
102143,40.2219,2025-12-18
102147,83.156,2025-12-18
102148,14.0649,2025-12-18
102149,14.9584,2025-12-18
102172,59.9982,2025-12-18
102173,11.2982,2025-12-18
102174,12.4899,2025-12-18
102205,36.1129,2025-12-18
102206,18.9324,2025-12-18
102248,25.2302,2018-05-25
102251,44.7071,2025-12-18
102252,217.8098,2025-12-18
102260,12.9622,2025-12-18
102261,17.215,2025-12-18
102262,61.0006,2025-12-18
102266,85.0019,2025-12-18
102267,84.9968,2025-12-18
102272,228.387,2025-12-18
102273,117.1753,2025-12-18
102326,122.6719,2025-12-18
102328,444.4371,2025-12-18
102330,77.4588,2025-12-18
102331,13.6872,2025-12-18
102393,141.9668,2025-12-18
102394,300.0086,2025-12-18
102395,140.4852,2025-12-18
102396,73.4237,2025-12-18
102397,134.0151,2025-12-18
102398,290.6363,2025-12-18
102401,195.555,2025-12-18
102402,76.109,2025-12-18
102414,392.0621,2025-12-18
102428,119.1883,2025-12-18
102431,506.1386,2025-12-18
102432,506.1386,2025-12-18
102433,117.9685,2025-12-18
102434,308.364,2025-12-18
102435,28.971,2025-12-18
102441,0.0,2020-07-08
102442,1055.3087,2025-12-18
102443,1000.0,2025-12-18
102448,59.7756,2025-12-18
102450,11.3314,2025-12-18
102451,11.7544,2025-12-18
102452,59.3799,2025-12-18
102453,10.0655,2025-12-18
102503,42.637,2025-12-18
102504,16.8118,2025-12-18
102505,46.9985,2025-12-18
102506,21.2473,2025-12-18
102509,38.2608,2025-12-18
102510,63.41,2025-12-18
102511,25.95,2025-12-18
102512,47.1474,2025-12-18
102514,47.1736,2025-12-18
102528,307.27,2025-12-18
102529,39.82,2025-12-18
102531,1377.3732,2025-12-18
102532,4352.3308,2025-12-18
102533,70.3318,2025-12-18
102534,45.8607,2025-12-18
102535,70.2958,2025-12-18
102536,17.3882,2025-12-18
102538,3474.1072,2025-12-18
102539,4309.9264,2025-12-18
102540,6465.6227,2025-12-18
102541,2286.1608,2025-12-18
102544,3655.6785,2025-12-18
102545,3055.3694,2025-12-18
102546,0.0,2022-12-19
102547,0.0,2022-12-19
102573,246.301,2025-12-18
102574,253.03,2025-12-18
102591,44.0597,2025-12-18
102592,10.7213,2025-12-18
102594,494.53,2025-12-18
102595,41.77,2025-12-18
102672,4222.6338,2025-12-18
102673,46.5436,2025-12-18
102675,11.143,2025-12-18
102676,10.3322,2025-12-18
102677,10.3388,2025-12-18
102741,46.4043,2025-12-18
102743,32.0584,2020-04-24
102751,194.9688,2025-12-18
102752,194.9688,2025-12-18
102753,38.0042,2025-12-18
102756,377.0552,2025-12-18
102760,235.475,2025-12-18
102761,26.144,2025-12-18
102765,68.9667,2025-12-18
102766,10.7989,2025-12-18
102767,47.1851,2025-12-18
102823,419.2334,2025-12-18
102846,179.9163,2025-12-18
102847,179.9163,2025-12-18
102848,32.6346,2025-12-18
102849,38.1792,2025-12-18
102851,25.6802,2025-12-18
102860,15.8661,2025-12-18
102874,107.351,2025-12-18
102875,246.067,2025-12-18
102883,195.2439,2025-12-18
102884,22.2774,2025-12-18
102885,308.4904,2025-12-18
102913,43.3546,2025-12-18
102914,38.8366,2025-12-18
102915,10.2623,2025-12-18
102920,250.42,2025-12-18
102921,81.33,2025-12-18
102941,230.5895,2025-12-18
102942,94.2221,2025-12-18
102947,16.732,2025-12-18
102948,119.77,2025-12-18
103024,640.5088,2025-12-18
103025,33.9176,2025-12-18
103026,180.2078,2025-12-18
103027,22.7587,2016-04-22
103028,13.5898,2016-04-22
103034,353.5573,2025-12-18
103039,52.986,2025-12-18
103040,153.717,2025-12-18
103048,4276.2507,2025-12-18
103049,1713.3216,2019-08-14
103050,1006.323,2025-12-18
103051,1007.5033,2025-12-18
103052,1024.5208,2025-12-18
103061,23.9631,2016-10-07
103062,15.0425,2016-10-07
103085,229.4545,2025-12-18
103086,45.8428,2025-12-18
103097,50.1765,2025-12-18
103098,172.1753,2025-12-18
103110,40.52,2025-12-18
103111,217.33,2025-12-18
103114,108.009,2025-12-18
103130,18.072,2025-12-18
103131,75.109,2025-12-18
103140,1362.4692,2025-12-18
103145,105.7101,2025-12-18
103146,60.0022,2025-12-18
103149,192.51,2025-12-18
103150,27.11,2025-12-18
103151,255.3414,2025-12-18
103154,180.71,2025-12-18
103155,1563.21,2025-12-18
103158,1008.5123,2025-12-18
103159,4042.6879,2025-12-18
103160,1003.5288,2025-12-18
103164,202.94,2025-12-18
103165,161.05,2025-12-18
103166,1869.44,2025-12-18
103167,44.38,2025-12-18
103168,178.87,2025-12-18
103173,40.29,2025-12-18
103174,541.33,2025-12-18
103176,563.9152,2025-12-18
103178,115.632,2025-12-18
103183,12.6042,2025-12-18
103191,100.8142,2025-12-18
103192,674.9325,2025-12-18
103193,100.9949,2025-12-18
103194,99.9054,2020-04-30
103195,473.2416,2025-12-18
103196,129.145,2025-12-18
103197,35.7714,2025-12-18
103215,111.6087,2025-12-18
103216,49.9757,2025-12-18
103225,42.354,2025-12-18
103226,12.7328,2025-12-18
103227,14.4827,2025-12-18
103228,15.2029,2025-12-18
103233,60.545,2025-12-18
103234,347.037,2025-12-18
103308,25.2348,2025-12-18
103309,147.8006,2025-12-18
103312,168.78,2025-12-18
103313,38.04,2025-12-18
103338,43.368,2025-12-18
103339,115.882,2025-12-18
103340,396.8369,2025-12-18
103341,100.3202,2022-09-16
103342,100.2053,2025-12-18
103343,100.1482,2025-12-18
103344,275.6151,2020-04-24
103347,3827.8173,2025-12-18
103348,1001.1568,2025-12-18
103349,1001.1542,2025-12-18
